Neighborhood,rental_price,Lat,Long
Hayes Valley,"$2,787 ",37.7759,-122.4245
Civic Center,"$2,808 ",37.7816,-122.4156
Tenderloin,"$2,808 ",37.7847,-122.4145
Western Addition,"$2,874 ",37.7822,-122.4342
Marina,"$2,877 ",36.6844,-121.8022
Russian Hill,"$2,907 ",37.8011,-122.4196
Lower Pacific Heights,"$2,949 ",37.787,-122.4368
Nob Hill,"$2,951 ",37.793,-122.4161
Pacific Heights,"$2,963 ",37.7952,-122.4382
Noe Valley,"$3,121 ",37.7502,-122.4337
Stonestown,"$3,121 ",37.7283,-122.4794
Pine Lake Park,"$3,121 ",37.7363,-122.4894
Merced Manor,"$3,121 ",37.733,-122.4786
Merced Heights,"$3,121 ",37.7194,-122.4717
Lakeside,"$3,121 ",37.7265,-122.4734
Lake Shore,"$3,121 ",37.7233,-122.4887
Ingleside Heights,"$3,121 ",37.7131,-122.468
North Panhandle,"$3,192 ",37.7729,-122.446
Alamo Square,"$3,192 ",37.7775,-122.4333
Telegraph Hill,"$3,198 ",37.8013,-122.4057
North Beach,"$3,198 ",37.8061,-122.4103
Anza Vista,"$3,248 ",37.7809,-122.4432
Midtown Terrace,"$3,328 ",37.7508,-122.4538
Glen Park,"$3,328 ",37.7378,-122.4321
Diamond Heights,"$3,328 ",37.7424,-122.4425
Forest Knolls,"$3,389 ",37.7586,-122.4595
Sunnyside,"$3,419 ",37.7299,-122.4443
Financial District ,"$3,469 ",37.7946,-122.3999
Mission District,"$3,545 ",37.7599,-122.4148
North Waterfront,"$3,570 ",37.7993,-122.2977
Mission Dolores,"$3,572 ",37.7596,-122.4269
Twin Peaks,"$3,668 ",37.7535,-122.4476
South of Market,"$3,742 ",37.7785,-122.4056
Potrero Hill,"$3,742 ",37.7605,-122.4009
Lone Mountain,"$3,797 ",37.777,-122.4538
Golden Gate Park,"$3,797 ",37.7694,-122.4862
Yerba Buena,"$3,879 ",37.7749,-122.4194
Dogpatch,"$3,898 ",37.7591,-122.3895
Presidio Heights,"$3,969 ",37.7925,-122.4382
Lake Street,"$3,969 ",37.7813,-122.4977
Laurel Heights,"$3,969 ",37.785,-122.451
Inner Richmond,"$3,969 ",37.7799,-122.4647
Central Richmond,"$3,969 ",37.7786,-122.4835
South Beach,"$4,021 ",37.7836,-122.3899
Mission Bay,"$4,060 ",37.7731,-122.3929